,producto,supermercado,precio_minimo,precio_maximo
161,Mikso Chips De Boniato Naranja Y Boniato Violeta Con Sal Marina Y Aceite De Oliva Virgen Bolsa 85 G,hipercor,2.17,2.17
162,"Mikso Chips De Chirivía, Boniato,Naranja Y Remolacha Con Sal Marina Y Aceite De Oliva Virgen Bolsa 85 G",hipercor,2.25,2.25
163,Molino De La Calzada Aceite De Oliva Virgen Extra Extracción En Frío Arbequina Botella 500 Ml,hipercor,14.6,14.6
164,Molino De La Calzada Aceite De Oliva Virgen Extra Extracción En Frío Lucio Botella 500 Ml,hipercor,14.6,14.6
165,Molino De La Calzada Aceite De Oliva Virgen Extra Extracción En Frío Picual Botella 500 Ml,hipercor,14.6,14.6
166,Mueloliva Aceite De Oliva Virgen En Monodosis  20 Ml. 5 Ud.,alcampo,3.32,3.32
167,Oleaurum Aceite De Oliva Virgen Extra Con D.o.p Botella 750 Ml.,alcampo,11.88,11.88
168,Oleo Cazorla Aceite De Oliva Virgen Extra D.o.p. Sierra De Cazorla Lata De 1 L.,alcampo,11.41,11.41
169,"Oleoestepa Aceite De Oliva Virgen Extra Arbequina Dop Estepa Lata 2,5 L.",alcampo,36.18,36.18
170,"Oleoestepa Aceite De Oliva Virgen Extra Lata 2,5 L.",alcampo,36.18,36.18
171,Oliva Verde Aceite De Oliva Virgen Extra Cayena Botella 250 Ml,hipercor,6.86,6.86
172,Oro Aragón  Aceite De Oliva Virgen Extra Botella 1 L.,alcampo,9.51,9.51
173,Oro Virgen Aceite De Oliva Virgen Extra Botella De 500 Ml.,alcampo,6.18,6.18
174,Pan De Olivo Pan Especial Gourmet Con Sésamo Y Aceite De Oliva Virgen Extra Bolsa 200 G,hipercor,2.95,2.95
175,Pan De Olivo Pan Especial Gourmet Regañá Con Sal Virgen De Manantial Y Aceite De Oliva Virgen Extra Bolsa 200 G,hipercor,2.95,2.95
176,Pan De Olivo Regañá Gourmet Con Aceite De Oliva Virgen Extra Y Romero Ecológico Bolsa 200 G,hipercor,2.95,2.95
177,Paño Naturae Leche En Polvo Desnatada 1% Materia Grasa Ecológica Bolsa 500 G,hipercor,5.69,5.69
178,Pascual Dinamic Protein Leche Sin Lactosa Enriquecida Con Proteínas Baja En Grasa Brik 1 L,hipercor,1.59,1.59
179,Pascual Leche De Vaca Entera 1 L.,alcampo,1.0,1.0
180,Pascual Leche De Vaca Entera 6 X 1 L.,alcampo,6.0,6.0
181,Pascual Leche De Vaca Semidesnatada 1 L.,alcampo,1.0,1.0
182,Pascual Leche De Vaca Semidesnatada 6 X 1 L.,alcampo,6.0,6.0
183,Pascual Leche De Vaca Semidesnatada Sin Lactosa 6 X 200 Ml.,alcampo,2.79,2.79
184,Pascual Leche Desnatada Con Calcio Brik 1 L,hipercor,1.62,1.62
185,Pascual Leche Semidesnatada Con Calcio Brik 1 L,hipercor,1.62,1.62
186,Piadina Sfogliatissima Con Aceite De Oliva Virgen Extra Loriana 350 G,carrefour,3.45,3.45
187,President Leche De Vaca Desnatada Y Sin Lactosa De Origen 100% Española  1 L.,alcampo,1.0,1.0
188,President Leche De Vaca Desnatada Y Sin Lactosa De Origen 100% Española 6 X 1 L.,alcampo,6.0,6.0
189,President Leche De Vaca Entera Y Sin Lactosa De Origen 100% Española  1 L.,alcampo,1.0,1.0
190,President Leche De Vaca Semidesnatada Y Sin Lactosa De Origen 100% Española  1 L.,alcampo,1.0,1.0
191,President Leche De Vaca Semidesnatada Y Sin Lactosa De Origen 100% Española  6 X 1 L.,alcampo,6.0,6.0
192,Président Leche Desnatada De Vaca De Origen 100% Español 6 X 1.5 L.,alcampo,8.7,8.7
193,Président Leche Desnatada De Vaca De Origen 100% Español Selección 1.5 L.,alcampo,1.45,1.45
194,Président Leche Entera De Vaca De Origen 100% Español 6 X 1.5 L.,alcampo,8.7,8.7
195,Président Leche Semidesnatada De Vaca De Origen 100% Español 6 X 1.5 L.,alcampo,8.7,8.7
